테이블명,컬럼명,래미안센트리폴(18L)
모든 테이블 공통 사항,청약명,래미안 센트리폴 (1 BL)
일반정보,1순위조건,입주자저축에 가입하여 가입기간이 12 개월이 경과하고 지역별 면적별 예치금액 이상 납입한 분
일반정보,2순위조건,입주자저축에 가입하였으나 1 순위에 해당되지 않는 분
일반정보,공급대상,
일반정보,분양금액,
일반정보,청약통장 자격요건 - 예치금액,
일반정보,청약신청 방법 및 절차(PC·모바일),"- 경로 : 청약홈 접속 → 인증서 로그인 → 청약신청 → APT → 신청유형 및 주택명 선택 → 청약자격 등 입력 → 인증서를 통한 전자서명 → 청약신청 완료
- 청약신청 시간* : 09:00~17:30
* 17:30까지 청약신청 완료해야 하며, 청약 신청 진행 중 17:30이 경과하면 청약신청이 되지 않으므로 유의하시기 바랍니다."
일반정보,"공고단지
청약연습","- 공고일 다음날부터 일반공급 청약신청 전날까지 세대원을 등록하고, 해당 세대원(성년자에 한함)의 개인정보 동의가 완료되면, 실제 청약하고자 하는
모집공고에 대한 신청자 및 세대원의 청약자격(주택소유 및 각종 청약제한사실)을 미리 알아볼 수 있어, 부적격자 발생을 최소화하도록 지원합니다.
- 세대원 등록방법 : 청약자격확인 → 세대구성원 등록/조회 및 세대구성원 동의
- 이용방법 : 공고단지 청약연습 → 공고단지 청약연습 신청(단, 세대구성원 등록 생략 시 신청자 본인에 대해서만 청약자격 검증)"
단지 주요정보,주택유형,민영
단지 주요정보,해당지역,"입주자 모집공고일 현재
인천광역시 거주자"
단지 주요정보,기타지역,"입주자 모집공고일 현재
수도권(서울특별시, 경기도) 거주자"
단지 주요정보,규제지역여부,비규제지역
단지 주요정보,재당첨제한,없음
단지 주요정보,전매제한,1년
단지 주요정보,거주의무기간,없음
단지 주요정보,분양가상한제,미적용
단지 주요정보,택지유형,민간택지
단지 주요정보,지역,인천
청약일정,입주자모집공고일,24.12.20.(금)
청약일정,특별공급 접수일,24.12.30.(월)
청약일정,일반공급 1순위 접수일,24.12.31.(화)
청약일정,일반공급 2순위 접수일,25.01.02.(목)
청약일정,당첨자발표일,25.01.09.(목)
청약일정,서류접수,25.01.11.(토)~25.01.18.(토)
청약일정,계약체결,25.01.21.(화)~25.01.26.(일)
신혼부부 특별공급,대상자,"■ 최초 입주자모집공고일 현재 인천광역시 및 수도권 서울특별시 경기도 지역에 거주하는 무주택세대구성원
-
신혼부부는 혼인신고일부터 입주자모집공고일 현재까지 계속 무주택자이어야 합니다
※ 단 , 혼인기간 중 주택을 소유한 적이 있는 분은 2018.12.11. 전에 기존 소유 주택을 처분한 이후 입주자모집공고일까지 계속하여 무주택세대구성원을 유지하고 , 입주
자모집공고일 현재 무주택기간이 2 년을 경과한 경우에 신혼부부 특별공급 특례에 따라 2 순위 청약 가능 합니다 부칙 제 5 조 신혼부부 특별공급 특례
■
혼인기간이 7 년 이내 혼 인신고일 기준 , 동일인과의 재혼인 경우에는 이전 혼인기간을 포함 인 분
■
「신혼부부 주택 특별공급 운용지침」에서 정하는 소득기준 또는 자산기준을 충족하는 분
■
청약통장 가입기간 6 개월 경과 지역별·면적별 예치금액 이상 한 분"
신혼부부 특별공급,당첨자 선정방법 - 선정순서, ①소득구분 → ②순위 → ③지역 → ④미성년 자녀수 → ⑤추첨
신혼부부 특별공급,당첨자 선정방법 -  소득구분,
신혼부부 특별공급,당첨자 선정방법 -  순위,"1순위 : 현재 혼인관계에 있는 배우자와의 혼인기간 중 자녀를 출산(태아, 입양자녀 포함)하여 미성년 자녀가 있는 분
2순위 : 자녀가 없는 분 또는 2018.12.11. 전 기존 주택을 처분하고 무주택기간이 2년을 경과한 분"
신혼부부 특별공급,당첨자 선정방법 -  지역,"해당지역 거주자(인천광역시) → 기타지역 거주자(서울특별시, 경기도)"
신혼부부 특별공급,2023년도 도시근로자 가구원수별 가구당 월평균 소득 기준,
신혼부부 특별공급,자산보유기준,
생애최초 특별공급,대상자,"■ 최초 입주자모집공고일 현재 인천광역시 및 수도권 서울특별시 경기도 지역에 거주하는 무주택세대구성원
■ 생애최초로 주택을 구입하는 분 - 모든 세대구성원이 과거 주택을 소유한 사실이 없는 경우를 말합니다.
※
예외 2024.03.25. 시행된 「주택공급에 관한 규칙」 제 55 조의 3 에 따라 청약신청자의 배우자가 혼인 전 주택을 소유한 이력은 배제 합니다
■ 「 주택공급에 관한 규칙 」 제28조제1항의 1순위에 해당하는 분
-
청약통장 가입기간 12 개월 경과 지역별·면적별 예치금액 이상 )
■ 아래 ‘가’ 또는 ‘나’에 해당하는 분
- 가. 혼인 중이거나 미혼인 자녀(태아, 입양자녀 포함, 청약신청자가 혼인 중이 아닌 경우 동일한 주민등록표등본에 등재된 자녀)가 있는 분
- 나. 1인 가구(혼인 중이 아니면서 미혼인 자녀도 없는 분)
* 1인 가구는 추첨제로만 신청가능하며, ‘단독세대’와 ‘단독세대가 아닌 분’으로 구분 됩니다.
* ‘단독세대’란, 단독세대주이거나, 동거인이나 형제자매 등 세대구성원에 해당하지 않는 분과 같은 세대를 구성하는 경우를 말하며, 단독세대 신청자는 주거전용면적 60㎡ 이하 주택형에 한하여 신청가능 합니다.
* ‘단독세대가 아닌 분’이란, 직계존속과 같은 세대를 구성하는 경우를 말합니다.
■
「생애최초 주택 특별공급 운용지침」에서 정하는 소득기준 또는 자산기준을 충족하는 분
■ 입주자모집공고일 현재 근로자 또는 자영업자*로서 5년 이상 소득세를 납부**한 분
* 과거 1년 내에 소득세(「소득세법」 제19조 또는 제20조에 해당하는 소득에 대하여 납부하는 것을 말함)를 납부한 분을 포함 합니다.
** 소득세 납부의무자이나 소득공제, 세액공제, 세액감면 등으로 납부의무액이 없는 경우를 포함 합니다."
생애최초 특별공급,당첨자 선정방법 - 선정순서,①소득구분 → ②지역 → ③추첨
생애최초 특별공급,당첨자 선정방법 -  소득구분,
생애최초 특별공급,당첨자 선정방법 -  지역,"해당지역 거주자(인천광역시 거주자) → 기타지역 거주자(서울특별시, 경기도)"
생애최초 특별공급,2023년도 도시근로자 가구원수별 가구당 월평균 소득 기준,
생애최초 특별공급,자산보유기준,
