테이블명,컬럼명,순천푸르지오더퍼스트
모든 테이블 공통 사항,청약명,순천 푸르지오 더 퍼스트
일반정보,1순위조건,입주자저축에 가입하여 가입기간이 6개월이 경과하고 지역별·면적별 예치금액 이상 납입한 분
일반정보,2순위조건,"입주자저축에 가입하였으나, 1순위에 해당되지 않는 분"
일반정보,공급대상,
일반정보,분양금액,
일반정보,청약통장 자격요건 - 예치금액,
일반정보,청약신청 방법 및 절차(PC·모바일),"- 경로 : 청약홈 접속 → 인증서 로그인 → 청약신청 → APT → 신청유형 및 주택명 선택 → 청약자격 등 입력 → 인증서를 통한 전자서명 → 청약신청 완료
- 청약신청 시간* : 09:00~17:30
* 17:30까지 청약신청 완료해야 하며, 청약 신청 진행 중 17:30이 경과하면 청약신청이 되지 않으므로 유의하시기 바랍니다."
일반정보,"공고단지
청약연습","- 공고일 다음날부터 일반공급 청약신청 전날까지 세대원을 등록하고, 해당 세대원(성년자에 한함)의 개인정보 동의가 완료되면, 실제 청약하고자 하는
모집공고에 대한 신청자 및 세대원의 청약자격(주택소유 및 각종 청약제한사실)을 미리 알아볼 수 있어, 부적격자 발생을 최소화하도록 지원합니다.
- 세대원 등록방법 : 청약자격확인 → 세대구성원 등록/조회 및 세대구성원 동의
- 이용방법 : 공고단지 청약연습 → 공고단지 청약연습 신청(단, 세대구성원 등록 생략 시 신청자 본인에 대해서만 청약자격 검증)"
단지 주요정보,주택유형,민영
단지 주요정보,해당지역,"전라남도 순천시 3개월 이상 계속 거주자
(2024.09.19. 이전부터 계속 거주"
단지 주요정보,기타지역,"순천시 3개월 미만 계속 거주자
및 광주광역시, 전라남도 거주자"
단지 주요정보,규제지역여부,비규제지역
단지 주요정보,재당첨제한,없음
단지 주요정보,전매제한,없음
단지 주요정보,거주의무기간,없음
단지 주요정보,분양가상한제,미적용
단지 주요정보,택지유형,민간택지
단지 주요정보,지역,전남
청약일정,입주자모집공고일,2024.12.19.(목)
청약일정,특별공급 접수일,2024.12.24.(화)
청약일정,일반공급 1순위 접수일,2024.12.26.(목)
청약일정,일반공급 2순위 접수일,2024.12.27.(금)
청약일정,당첨자발표일,2025.01.03.(금)
청약일정,서류접수,"2025.01.04.(토)~
2025.01.08.(수)"
청약일정,계약체결,"2025.01.14.(화)~
2025.01.16.(목)"
신혼부부 특별공급,대상자,"■ 최초 입주자모집공고일 현재 순천시에 거주하거나 전라남도 및 광주광역시에 거주하는 무주택세대구성원
- 신혼부부는 혼인신고일부터 입주자모집공고일 현재까지 계속 무주택자이어야 함
※ 단, 혼인기간 중 주택을 소유한 적이 있는 분은 2018.12.11. 전에 기존 소유 주택을 처분한 이후 입주자모집공고일까지 계속하여 무주택세대구성원을 유지하고,
입주자모집공고일 현재 무주택기간이 2년을 경과한 경우에 신혼부부 특별공급 특례에 따라 2순위 청약 가능(부칙 제5조 신혼부부 특별공급 특례)
■ 혼인기간이 7년 이내(혼인신고일 기준, 동일인과의 재혼인 경우에는 이전 혼인기간을 포함)인 분
■ 「신혼부부 주택 특별공급 운용지침」에서 정하는 소득기준 또는 자산기준을 충족하는 분
■ 청약통장 가입기간 6개월 경과(지역별·면적별 예치금액 이상)한 분"
신혼부부 특별공급,당첨자 선정방법 - 선정순서, ①소득구분 → ②순위 → ③지역 → ④미성년 자녀수 → ⑤추첨
신혼부부 특별공급,당첨자 선정방법 -  소득구분,
신혼부부 특별공급,당첨자 선정방법 -  순위,"1순위 : 현재 혼인관계에 있는 배우자와의 혼인기간 중 자녀를 출산(태아, 입양자녀 포함)하여 미성년 자녀가 있는 분
2순위 : 자녀가 없는 분 또는 2018.12.11. 전 기존 주택을 처분하고 무주택기간이 2년을 경과한 분"
신혼부부 특별공급,당첨자 선정방법 -  지역,해당지역 거주자(순천시 3개월 이상 계속 거주자) → 기타지역 거주자(순천시 3개월 미만 거주자 및 전라남도 및 광주광역시 거주자)
신혼부부 특별공급,2023년도 도시근로자 가구원수별 가구당 월평균 소득 기준,
신혼부부 특별공급,자산보유기준,
