year,region,under_60sqm,60_to_85sqm,over_85sqm,type_84_price,type_59_price
2020,서울  ,881,729,955,61236,51979
2020,경기  ,432,447,484,37548,25488
2020,인천  ,480,481,601,40404,28320
2020,부산  ,448,479,409,40236,26432
2020,대구  ,469,481,463,40404,27671
2020,광주  ,379,392,490,32928,22361
2020,대전  ,322,359,0,30156,18998
2020,울산  ,440,452,466,37968,25960
2020,세종  ,0,0,345,0,0
2020,강원  ,219,321,283,26964,12921
2020,충북  ,262,271,279,22764,15458
2020,충남  ,279,285,299,23940,16461
2020,전북  ,248,263,260,22092,14632
2020,전남  ,199,307,334,25788,11741
2020,경북  ,236,303,383,25452,13924
2020,경남  ,289,327,368,27468,17051
2020,제주  ,450,487,581,40908,26550
2021,서울  ,1211,766,740,64344,71449
2021,경기  ,449,414,428,34776,26491
2021,인천  ,455,481,586,40404,26845
2021,부산  ,487,553,439,46452,28733
2021,대구  ,475,503,584,42252,28025
2021,광주  ,386,481,601,40404,22774
2021,대전  ,386,400,0,33600,22774
2021,울산  ,476,429,510,36036,28084
2021,세종  ,384,376,398,31584,22656
2021,강원  ,312,321,331,26964,18408
2021,충북  ,279,280,281,23520,16461
2021,충남  ,295,309,347,25956,17405
2021,전북  ,172,304,324,25536,10148
2021,전남  ,308,322,337,27048,18172
2021,경북  ,301,339,389,28476,17759
2021,경남  ,303,344,367,28896,17877
2021,제주  ,469,624,627,52416,27671
2022,서울  ,1099,1012,919,85008,64841
2022,경기  ,642,450,512,37800,37878
2022,인천  ,551,517,561,43428,32509
2022,부산  ,515,498,564,41832,30385
2022,대구  ,517,580,612,48720,30503
2022,광주  ,502,518,649,43512,29618
2022,대전  ,432,490,484,41160,25488
2022,울산  ,694,553,595,46452,40946
2022,세종  ,256,385,0,32340,15104
2022,강원  ,343,387,417,32508,20237
2022,충북  ,221,326,323,27384,13039
2022,충남  ,384,373,390,31332,22656
2022,전북  ,269,327,351,27468,15871
2022,전남  ,343,362,372,30408,20237
2022,경북  ,381,397,419,33348,22479
2022,경남  ,455,402,429,33768,26845
2022,제주  ,525,618,711,51912,30975
2023,서울  ,1089,1080,1283,90720,64251
2023,경기  ,706,552,531,46368,41654
2023,인천  ,541,529,510,44436,31919
2023,부산  ,668,612,562,51408,39412
2023,대구  ,0,451,0,37884,0
2023,광주  ,612,568,688,47712,36108
2023,대전  ,549,574,569,48216,32391
2023,울산  ,424,528,490,44352,25016
2023,세종  ,0,0,0,0,0
2023,강원  ,456,466,491,39144,26904
2023,충북  ,214,362,388,30408,12626
2023,충남  ,290,389,428,32676,17110
2023,전북  ,155,348,395,29232,9145
2023,전남  ,435,421,447,35364,25665
2023,경북  ,449,394,393,33096,26491
2023,경남  ,326,399,454,33516,19234
2023,제주  ,496,788,617,66192,29264
2024,서울  ,1473,1575,1538,132300,86907
2024,경기  ,737,580,653,48720,43483
2024,인천  ,557,600,647,50400,32863
2024,부산  ,708,686,824,57624,41772
2024,대구  ,565,624,582,52416,33335
2024,광주  ,622,554,656,46536,36698
2024,대전  ,521,602,686,50568,30739
2024,울산  ,739,643,628,54012,43601
2024,세종  ,0,0,0,0,0
2024,강원  ,306,421,497,35364,18054
2024,충북  ,434,419,402,35196,25606
2024,충남  ,354,413,454,34692,20886
2024,전북  ,394,403,392,33852,23246
2024,전남  ,0,409,461,34356,0
2024,경북  ,0,470,501,39480,0
2024,경남  ,322,456,460,38304,18998
2024,제주  ,0,769,825,64596,0
